Feature	02-0003	02-0011	02-0027	02-0033	02-0034	02-0047	02-0059	02-0069	02-0070	02-0085	02-0086	02-0087	02-0106	06-0128	06-0129	06-0130	06-0139	06-0141	06-0143	06-0145	06-0147	06-0157	06-0165	06-0171	06-0173	06-0178	06-0185	06-0189	06-0192	06-0213	06-0214	06-0221	06-0644	06-0881	06-1802	06-2570	06-5412	08-0354	08-0358	08-0389	08-0390	08-0521	08-0522	12-0769	12-1093	12-1094	12-1598	14-1452	14-1453	14-1458	14-1821	14-3477	76-4928	76-4931	76-4935	76-6192	76-6280	76-6285	76-6656	76-6662	76-6663	76-6664
original_firstorder_10Percentile	107	107.3333	55.2	123.5	118.54	53.7	89	74.8	134	103	80	59.6667	97.2	60.4818	52.2667	63.95	31.9286	27.6313	27	17.1964	57	72.42	77.375	10.3714	67.625	59.16	18	78	62.625	72.9667	13.25	102	69	8.5	51.8333	52.2	119.9571	109.4	68	7	66.0167	72.7143	52	20	102.75	106.6	103.4333	27	0	6	54	64.5	4	75.8	58.71	37	97.0667	22	95.2	99	134	32.28
original_firstorder_90Percentile	163.5	186.1	169.4	211	193	134.5	173.8	171.05	212	166.675	196.5	140.6667	204.275	190.9091	148.8	166.5	126.2357	124.7313	145	101.95	129.1333	154.4	178.625	84.5714	151.25	163.24	111	136	145.85	154.6667	91.25	217	145	170.7	144.9333	158	194.0286	192	156	160	156.9667	159.2857	158.28	167.7	170.25	188.54	190.0333	143	126	139	179	176.5	40	167	179.81	127	188	50	195.8	193	236	203.02
original_firstorder_Energy	14643914	47146548.67	18500045.6	43288538.5	38058772.4	17967758	24206959.43	27668087	31821864	19346075.25	27974680	18354141.33	42841871	29366134	12681293.58	20771803	8478359.214	12949401.19	13026176	7823384.071	13797564	20429535.6	28860886.63	7775457.857	19890677.63	16761273.6	11570235	18928398	23294511.5	19852695.67	9716985	45290871	14110977	9181067	12941437	21103905.6	38427061	19033115	12828943.5	23578243	26372833	17911728.57	20019377.6	11395234	32934317.5	29436803.2	27771243.67	14307818	20050802	13169351	10872184	9875697	654226	24537634	30310499.8	10930161	30460151.33	2109368	38970370.67	36884915	39424506	33862983.6
original_firstorder_Entropy	2.0751	2.3435	2.7947	2.5188	2.2819	2.1781	2.3892	2.4987	2.1159	2.0755	2.6423	2.3536	2.7702	2.9415	2.6536	2.6882	2.245	2.5379	2.7949	2.3053	2.2135	2.3082	2.5951	1.9857	2.3007	2.5661	2.5584	2.0149	2.4298	2.2436	1.9748	2.7821	2.1977	2.8821	2.4383	2.5178	2.2625	2.4584	2.479	2.9046	2.5403	2.4759	2.7269	2.9685	2.083	2.3563	2.2861	2.7258	2.5131	2.7667	2.5561	2.6254	0.9848	2.3674	2.6702	2.4247	2.5806	1.0041	2.6517	2.6316	2.5772	2.7006
original_firstorder_InterquartileRange	28.5	39.25	60.6	50	38.8	47.5	43.9643	50	38	31.75	63.125	37.6667	51.625	81.9091	50.5	50.5	61.1964	53.5	67	43.4375	35	38.25	59.75	42.8571	45.625	64.45	61	27	40.2812	40.6667	41.75	57	47	105	46.0833	61.55	39.9286	46	49	82	46.1667	43.2857	54.05	70	28	42.85	38.0833	67	56	76	91	60	24	53	81.125	66.25	54	12	51.5	47	76	63.6
original_firstorder_Kurtosis	5.859	3.2921	2.999	3.4924	3.1817	2.8387	3.3636	3.7251	2.8835	4.4177	2.2767	4.0532	3.9506	2.3777	3.9185	3.1426	2.4273	3.9921	3.3297	6.6199	8.4338	3.3061	3.0309	7.1551	2.4696	2.3682	2.6582	5.2106	4.3272	3.1655	5.8169	2.6226	2.3763	2.6224	3.7638	2.8117	5.3948	3.0336	2.844	2.1306	3.8516	3.871	3.5135	2.4382	3.9467	2.9377	3.6188	4.3669	2.1868	2.9756	1.8938	2.3006	1.769	2.2652	1.9564	1.8016	4.4793	2.8915	2.9967	3.3258	4.168	3.615
original_firstorder_Maximum	255	255	254.6	255	255	155	249.1429	222.5	255	233.75	227	226.3333	254	246.0909	250.0833	244.5	171.7857	227.5625	255	246.0357	255	213.8	254.625	214.5714	191	221	186	216	223.125	202.6667	201.25	255	183	255	217	217.8	237.8571	255	219	237	235	234.7143	255	243	196.5	223.2	222.3333	255	150	255	203	216	50	196	232.9	138	226.6667	64	250.6667	255	250	231
original_firstorder_MeanAbsoluteDeviation	19.1729	24.0082	35.6599	28.6515	23.1935	26.5146	26.3371	30.3777	23.5035	20.3659	35.3591	25.6748	33.3892	42.6214	30.8013	32.0106	32.6074	31.3944	38.7443	27.9493	23.6063	24.3834	33.2282	24.4723	25.6417	34.2604	31.2163	18.9604	27.2869	24.4976	26.2903	34.9615	24.9641	55.3038	27.9723	34.5104	23.7866	26.4137	28.0431	47.0651	29.4994	27.088	32.3512	41.3327	19.8185	25.258	26.1653	42.547	34.8076	41.0957	42.9029	35.0463	11.7748	29.0658	40.9526	31.9245	32.7608	8.0591	31.1972	29.0551	37.3178	44.1877
original_firstorder_Mean	136.7482	146.5348	107.3938	166.3091	155.1679	100.8749	129.5039	120.9625	164.651	131.7645	136.2558	103.6073	153.5712	123.6449	102.9407	117.7757	69.9113	73.5677	76.9654	55.5993	93.1301	109.2547	121.6832	49.8752	107.0944	108.1981	65.0716	106.5587	105.2008	115.2041	49.5817	167.0815	112.0067	77.4228	96.0537	96.07	157.7699	148.2606	109.5649	98.6214	109.2601	112.7651	104.9068	98.5108	136.9545	147.4183	152.7255	76.1258	72.5238	71.9007	103.9636	109.8701	20.489	112.9323	115.1882	82.1787	142.6215	38.6748	150.2831	144.2159	181.9964	144.0899
original_firstorder_Median	136.5	146	101.2	167.5	153.4	111	127.1429	121	157.5	128.25	132.5	105.3333	158.625	121.2273	102.1667	115.75	56.75	68.6875	66	48.0714	90.3333	106.8	113.25	50.5714	103.75	108.2	60	105	107.75	116.3333	44	174	118	59	93.1667	86	160.5714	145	105	109	107.6667	108.7857	103.6	102	139	146.8	157.3333	56	76	76	86	98	18.5	105	111.9	85	148.6667	41	154.3333	146	180	157.3
original_firstorder_Minimum	60	68	15	36	72.6	5	48.1429	22.5	106.5	66	53	17	1.75	6.0909	12.1667	35.5	11.7857	2.75	5	1.25	33.6667	29.2	33	0	37.875	18.2	4	51	4.375	30.6667	0	54	31	0	23.5	28	21.7143	52	23.5	0	0.5	14.1429	3	1	48.5	66.6	46.3333	0	0	0	0	36	0	10	31	0	0	12	28	17	10	2
original_firstorder_Range	195	187	239.6	219	182.4	150	201	200	148.5	167.75	174	209.3333	252.25	240	237.9167	209	160	224.8125	250	244.7857	221.3333	184.6	221.625	214.5714	153.125	202.8	182	165	218.75	172	201.25	201	152	255	193.5	189.8	216.1429	203	195.5	237	234.5	220.5714	252	242	148	156.6	176	255	150	255	203	180	50	186	201.9	138	226.6667	52	222.6667	238	240	229
original_firstorder_RobustMeanAbsoluteDeviation	11.708	16.5502	25.3799	20.9235	16.3434	19.7147	18.6438	21.3861	17.025	13.5992	26.3558	16.5062	22.1776	32.8193	21.1088	22.1964	25.6369	22.2984	28.3375	18.5595	15.1254	16.8422	24.5666	18.0368	19.1349	26.6096	23.6853	12.1373	17.2219	17.7085	18.3907	24.9443	19.4029	43.0528	19.3785	25.716	16.669	18.6129	20.317	36.4946	19.6668	18.2298	22.6741	29.8866	12.1417	17.9606	17.1993	28.7154	31.7379	30.9555	36.0105	26.3675	9.9003	22.1082	33.6595	26.7797	22.4845	5.5769	21.8817	19.8528	29.5061	28.959
original_firstorder_RootMeanSquared	139.5763	149.7178	116.2844	170.0713	157.9186	105.9711	134.0748	127.1921	167.2228	134.4464	142.7532	109.279	159.6435	133.879	110.4684	124.3915	79.4864	83.6265	90.4843	67.5404	100.192	113.6548	128.893	58.6918	111.6505	115.891	75.0901	109.6268	111.5585	119.4068	60.5514	172.5602	115.8166	100.9312	102.7013	104.9514	160.8324	151.8896	115.1525	113.416	115.8943	118.2728	112.7056	111.0518	139.632	150.7738	156.6825	93.4894	83.7303	87.9635	114.8669	117.4431	24.4767	118.1091	124.5856	89.6487	148.7583	39.9902	155.2554	148.9287	187.6178	155.319
original_firstorder_Skewness	0.6394	0.4639	0.6151	-0.4951	0.3103	-0.7814	0.3769	0.3337	0.7852	0.6863	0.1557	-0.0058	-0.6694	0.0115	0.5294	0.3547	0.7169	0.8097	0.8929	1.4531	1.6473	0.5335	0.5183	1.0717	0.2478	0.0246	0.481	1.1277	-0.3992	0.1613	1.2775	-0.4833	-0.514	0.7112	0.6659	0.6891	-0.8772	0.4524	0.4826	-0.3111	-0.1707	0.5292	0.2388	-0.0389	-0.6296	-0.103	-0.542	1.3584	-0.3512	0.5048	0.4646	0.5834	0.2872	0.5165	0.2599	-0.199	-1.035	-0.5693	-0.5186	-0.0955	-0.8237	-1.0724
original_firstorder_TotalEnergy	14643914	47146548.67	18500045.6	43288538.5	38058772.4	17967758	24206959.43	27668087	31821864	19346075.25	27974680	18354141.33	42841871	29366134	12681293.58	20771803	8478359.214	12949401.19	13026176	7823384.071	13797564	20429535.6	28860886.63	7775457.857	19890677.63	16761273.6	11570235	18928398	23294511.5	19852695.67	9716985	45290871	14110977	9181067	12941437	21103905.6	38427061	19033115	12828943.5	23578243	26372833	17911728.57	20019377.6	11395234	32934317.5	29436803.2	27771243.67	14307818	20050802	13169351	10872184	9875697	654226	24537634	30310499.8	10930161	30460151.33	2109368	38970370.67	36884915	39424506	33862983.6
original_firstorder_Uniformity	0.3092	0.2335	0.1692	0.2005	0.2416	0.2638	0.2301	0.2272	0.28	0.2863	0.1808	0.2422	0.1763	0.1466	0.1911	0.1819	0.2761	0.2069	0.1729	0.2516	0.2706	0.2447	0.1982	0.3077	0.2298	0.202	0.1842	0.3062	0.2353	0.2463	0.3631	0.1671	0.2584	0.1704	0.2369	0.2116	0.2443	0.2127	0.2065	0.1478	0.2188	0.2199	0.1778	0.1423	0.2914	0.2288	0.2532	0.2009	0.1835	0.1735	0.2117	0.1904	0.5245	0.226	0.1818	0.1962	0.1975	0.6209	0.1864	0.1929	0.1916	0.1888
original_firstorder_Variance	739.6136	942.6939	1979.0206	1265.164	858.3733	1031.7553	1173.6577	1686.9022	851.0502	718.42	1814.3515	1162.7396	1902.371	2587.2468	1601.5154	1602.1852	1451.2883	1605.1068	2263.7367	1444.5617	1112.8536	988.8174	1661.0621	1116.9684	988.335	1754.0771	1404.1981	663.2675	1417.6855	944.4744	1222.1237	1860.7994	867.9857	4159.8651	1352.6453	1796.4545	974.046	1089.2351	1200.7918	3137.0209	1536.7188	1232.0181	1705.8881	2628.1222	728.7378	1030.0215	1184.3373	2945.1241	1751.0718	2567.8626	2385.9695	1721.4315	179.3085	1196.0483	2214.3214	1283.5482	1816.7827	103.481	1518.5671	1381.5259	2077.7518	3368.5239
original_glcm_Autocorrelation	21.3339	18.2476	26.5876	40.4607	20.7539	23.4796	19.7519	27.9789	11.0564	15.8642	23.0207	18.333	47.417	33.2305	22.4541	20.5862	13.3764	14.8417	16.3942	9.7016	12.5584	19.641	23.4768	9.33	17.4033	22.9929	11.9321	8.7445	26.2328	19.2596	9.6526	30.2248	17.1348	20.1936	16.7438	16.2514	44.9019	21.2087	21.7806	24.6699	26.9579	24.8887	25.2464	23.6654	21.5403	19.7885	30.3027	16.932	14.8085	15.6513	26.1638	18.6893	2.0547	27.4434	22.6618	16.9668	41.9859	4.1399	40.8149	42.0178	65.6729	45.5268
original_glcm_JointAverage	4.4958	4.0858	4.8589	6.215	4.342	4.5328	4.1293	4.8938	3.13	3.8259	4.4774	4.0494	6.6715	5.3629	4.4706	4.2548	3.259	3.4759	3.6088	2.7282	3.2502	4.1295	4.5195	2.5531	3.9552	4.4649	3.1265	2.7916	4.7602	4.1628	2.5738	5.2461	3.9846	3.7792	3.725	3.5518	6.451	4.4706	4.4385	4.5083	4.9225	4.7677	4.7316	4.479	4.5289	4.2582	5.2802	3.6449	3.5385	3.4481	4.7576	4.0165	1.3638	5.0559	4.3482	3.8715	6.2582	1.9927	6.1925	6.3252	7.9103	6.3436
original_glcm_ClusterProminence	135.8627	120.7656	477.07	206.8347	85.8765	143.5755	211.6832	398.0398	78.8503	85.9595	302.7631	192.5487	518.4814	603.5373	390.9011	329.1494	200.4558	402.7365	645.0557	504.7816	426.9296	130.9714	342.6616	263.3552	100.9231	309.3422	210.1821	88.3451	388.857	102.2328	271.834	355.0606	72.1225	1451.4767	248.9963	399.7662	207.4671	109.6348	144.2471	689.0532	320.3632	202.2219	303.2349	597.0702	76.1828	116.2389	242.4648	943.506	185.3816	737.2718	401.8086	268.4009	1.1925	136.2989	418.402	121.075	577.209	2.7983	263.5684	238.8943	677.2179	1534.2348
original_glcm_ClusterShade	8.1561	6.693	24.385	-10.8612	3.2836	-14.6732	8.1152	-6.3015	9.0114	7.4266	1.3748	-3.5148	-25.3795	3.2179	16.368	8.4099	16.8831	25.3661	47.2002	39.661	31.2114	7.4479	19.553	4.9929	3.4426	5.2372	11.3543	9.0974	-13.66	1.6699	17.7455	-19.7981	-6.6221	71.5647	11.4566	25.3383	-13.3013	5.513	9.0727	-20.2982	2.7011	9.705	3.9287	-3.9805	-5.2261	-1.5383	-17.1075	69.5725	-4.7294	36.2099	29.3567	18.757	0.4962	11.7878	13.1938	-2.4346	-39.3493	-0.114	-14.2589	-1.6673	-36.9495	-100.8022
original_glcm_ClusterTendency	4.6847	6.0265	12.4807	7.7946	5.2582	6.5483	7.4141	10.3713	5.3274	4.5327	11.3862	6.9431	11.6372	15.6939	9.9361	10.4434	8.9584	10	14.0767	8.7934	7.0691	6.2146	10.526	6.4644	6.2518	10.8391	9.0443	4.213	8.587	5.8808	7.0103	11.4783	5.4941	24.5522	8.5629	11.1974	5.7891	6.0536	7.0919	17.9843	9.331	7.3665	9.675	15.4162	4.3736	6.565	7.7223	17.0007	9.4477	15.6488	14.9209	10.8823	0.8639	7.7813	14.1794	8.1975	10.9299	0.7788	9.4323	8.5508	12.8318	20.3891
original_glcm_Contrast	0.5739	0.3741	0.7562	0.4823	0.5109	0.3469	0.5236	0.3962	0.3569	0.3798	0.5143	0.3999	0.5773	0.8053	0.9046	0.5125	0.3592	0.645	0.5939	0.6405	0.4257	0.4113	0.5043	0.4311	0.3761	0.5833	0.4153	0.4081	0.4985	0.3444	0.367	0.6672	0.4623	1.7355	0.5061	0.3236	0.3869	1.164	0.9173	0.6048	0.5975	0.9486	1.4651	1.0016	0.2721	0.3834	0.4504	2.4166	0.2988	0.6024	0.8064	0.6588	0.0847	0.2576	0.4476	0.2854	0.5378	0.1034	0.7133	0.5132	0.4351	0.5154
