samples	pca_1	pca_2	pca_3	pca_4	pca_5	pca_6	pca_7	pca_8	pca_9	pca_10
CS-4942	5.531818803	0.771607671	-0.487907725	-2.095269924	-4.781423209	1.293143416	3.365505613	-2.238051685	0.353411128	0.904447858
CS-5395	7.069403541	-0.514003958	-0.651444412	-1.606423047	-3.132429874	-0.842249063	-2.132905182	0.383985579	-1.697713989	0.1957199
CS-6186	7.001590399	-0.05674636	4.239270689	-1.426554849	-2.136486285	1.355643681	2.253306015	-0.111500252	2.234772327	0.834868048
CS-6666	-7.463777148	5.859458277	-6.969923453	4.102289621	-0.722643613	1.705182465	2.711042165	1.405979715	-0.700922428	1.150124002
CS-6669	-5.874431509	-4.275275822	2.847642451	3.882426073	3.092132578	-0.479546494	-0.611137444	0.383537661	1.160996382	0.111631587
CS-6670	9.155993439	0.911843389	4.906000135	0.311041018	-0.934376969	-0.038422357	-2.907551117	1.984358042	1.911580595	0.740543835
DU-5849	-6.172233268	-1.849201528	-0.010464073	1.480677004	0.403055815	0.756721132	-1.896316454	-0.677997175	0.142796717	0.69431387
DU-5853	3.828259373	-1.855459399	-1.127160286	-0.706832914	-0.401360999	-0.554835479	-0.354515208	0.416588875	0.56690241	-0.047489839
DU-5855	0.924737028	-2.826653087	-2.758638742	2.492647313	-0.295629015	1.115609609	1.106868545	-0.262649005	-0.535203406	0.745462618
DU-5871	1.340492133	-4.293870811	-0.046955444	-1.224178293	-0.167724936	1.032195451	-0.581791151	-0.177555859	-0.889273632	0.167984985
DU-6397	0.732422126	5.56027735	2.446107221	-3.05502404	0.834804547	-1.780253771	-1.536157267	-0.603588869	1.278012892	-0.759333519
DU-6401	-1.040323932	-0.987868658	-9.887202774	1.525410274	1.686468434	-1.587596288	2.714427473	-1.26368338	-1.08764488	-0.057723097
DU-6404	1.746289954	-3.054782703	0.124002345	-0.912965858	2.209794258	0.160318424	-1.517095215	1.118232091	-1.029184607	1.416263376
DU-6542	15.41304818	-2.810081123	-0.080294166	5.380148077	2.343430484	-0.641779077	-0.922296683	3.260822403	-1.330404567	1.179785903
DU-7008	7.790419016	-4.47810562	2.780815828	0.42904752	-0.403524439	0.165736276	1.848860823	1.232808622	0.983272524	-0.551216387
DU-7010	9.428110502	1.701481294	3.036281181	-1.075556388	-2.272493638	0.421089417	0.507249873	-0.651561462	0.759208308	-0.170204791
DU-7014	5.456619944	-4.792766418	-2.047627381	-0.40781819	2.019900247	-1.875085029	2.448958869	2.034099732	-0.140631953	0.64040262
DU-7018	1.065716193	-1.44920012	4.270958183	-2.247409729	-1.909143629	0.606800467	-0.204432577	0.181099536	0.14663282	0.154632827
DU-7301	0.568494429	-0.345554246	-3.063849219	-3.546668013	-2.191981555	0.128061859	-0.839578169	-1.500253008	-2.623401863	-0.740739438
DU-8158	2.490414523	-10.10777177	-0.640248823	5.424848721	4.871929651	2.766406413	-1.366382528	1.556982574	0.572063611	-0.050813885
DU-A5TU	-4.065793197	-3.201577549	-0.163790992	-1.19456291	0.085055132	-0.133635949	0.11176376	-0.301441926	-0.913982112	0.901965486
DU-A5TW	5.097246462	-0.963282911	-1.199609107	-2.224714436	-0.007521634	-0.313927478	3.036801661	-3.743357283	-3.522172914	-1.554866589
EZ-7264A	0.796357625	4.510349233	0.365777231	-2.166598291	4.168837474	0.874634572	-1.806592375	-0.62318973	-1.060111467	-0.706058034
FG-6689	-3.872984313	1.91688586	1.775857177	1.811281186	3.730397046	-2.67911271	0.790300568	2.316043719	1.278771155	-0.511217702
FG-6691	-2.724688277	-0.270521133	-4.482362131	-0.254882126	-0.174134413	-2.019446369	2.029813757	0.653257944	1.885271177	-0.160475105
FG-6692	-7.111070516	0.78951236	3.972571242	1.9952814	-0.979043676	0.991287467	-1.840779837	-0.245091029	0.234912921	-0.006070144
FG-7634	-0.093227154	-4.620081184	0.365939608	-1.2924727	0.122967357	-0.869103449	3.919986719	0.767260298	0.350424609	-0.116719278
FG-7643	6.07371835	4.144460828	1.946895925	-2.930000468	-0.90999209	-1.47418978	-1.996716223	-0.490399051	1.13422419	-1.152315817
FG-A4MU	-1.647552416	-5.131026284	1.378098205	2.596341042	1.879555701	0.532140105	1.12388367	0.69763774	0.496442201	0.040905108
HT-7468	9.949417449	0.975698068	1.496942439	-0.892550393	-1.990203027	-0.225873211	-1.026169926	0.290154491	0.24757815	-0.328197024
HT-7604	-1.447414801	0.038270708	-3.670035509	-2.121174068	-2.106159694	-0.119760114	0.983044788	-1.324521429	0.947983349	0.548745114
HT-7608	-7.143446248	1.977655008	0.346300576	-1.145613742	-3.099671871	0.6441966	0.401549429	-0.157355743	-0.865090999	-0.138487392
HT-7616	-5.402479218	5.289925869	-0.806791525	-2.073515482	0.404871061	-1.136179582	-0.784898745	-0.725859439	-0.269576456	-0.403658369
HT-7686	-4.632242289	-3.795883901	-0.735615491	2.075708599	-1.741170484	1.395882252	0.980691959	-0.082504854	0.366471968	0.107141515
HT-7688	-3.309833604	6.190716538	-0.991488857	0.406902579	1.436444644	0.989681649	0.180877819	0.455067553	0.137264511	-0.809257773
HT-7690	-4.3006351	-3.809155527	-4.255750899	0.664741573	1.767488892	-0.978554214	0.455047269	-0.201499205	0.383133584	0.498975529
HT-7693	-6.816277583	-1.067146143	-1.651806833	2.368753095	-0.247191417	0.443054708	-0.54553656	0.217568003	0.789816723	0.527023089
HT-7855	-1.306753942	0.999059576	0.771072777	-2.260168517	0.261303356	0.498535211	-1.851743282	0.147538137	-0.887289229	0.555723711
HT-7856	-6.266070413	-0.966492798	3.212543249	-0.718772221	-4.325868303	0.048671721	-1.02927694	-1.873365487	-1.118432247	-0.03119858
HT-7875	3.029645092	6.52178697	-0.985767552	-2.828525594	3.989121013	3.901463831	-1.870555471	-3.657306779	-8.22044E-07	-0.504546812
HT-8105	-9.689072864	3.00781823	0.056702443	1.799677661	-0.428128313	-2.190237061	-0.466084983	0.259525942	0.556243689	-0.558707205
HT-A5R7	-5.075007375	7.118529228	3.128604749	1.00841694	2.409784303	1.096077908	-1.481271257	1.595530848	0.322411682	-1.040757016
HT-A5RA	-9.640150785	2.883979319	4.243966155	2.026989837	-1.359986184	-0.864174236	-0.633449529	1.034797117	-0.616693118	-0.050417477
HT-A614	0.60525139	6.353193271	-0.99761442	-1.374377342	-0.999052722	-2.118572921	-0.766746655	-1.48014397	0.047131068	-1.666189708
