gene	rowname	B.cell	B.cell.1	B.cell.2	B.cell.3	CD34..Hematopoetic.Stem.cells	CD34..Hematopoetic.Stem.cells.1	CD34..Hematopoetic.Stem.cells.2	gamma.delta.T.cell	gamma.delta.T.cell.1	gamma.delta.T.cell.2	gamma.delta.T.cell.3	gamma.delta.T.cell.4	gamma.delta.T.cell.5	gamma.delta.T.cell.6	gamma.delta.T.cell.7	DC_Control	DC_Control.1	DC_Control.2	DC_Control.3	DC_Control.4	DC_Control.5	DC_Control.6	DC_Control.7	DC_Control.8	gamma.delta.T.cell.normal	gamma.delta.T.cell.normal.1	Immature.DCs	Immature.DCs.1	Immature.DCs.2	Immature.DCs.3	Immature.DCs.1.1	Immature.DCs.2.1	mast.cell	mast.cell.1	mast.cell.2	mast.cell.3	uninfected.mDC	uninfected.mDC.1	uninfected.mDC.2	uninfected.mDC.3	Monocyte	Monocyte.1	Monocyte.2	Monocyte.3	Monocyte.4	Monocyte.5	Neutrophil	Neutrophil.1	Neutrophil.2	Neutrophil.3	Neutrophil	Neutrophil.1	Neutrophil.2	NK_Donor	NK_Donor.1	NK_Donor.2	NK_Donor.3	NK_Donor.4	NK_Donor.5	NK_Donor.6	NK_Donor.7	pDC_healthy	pDC_healthy.1	pDC_healthy.2	pDC_healthy.3	pDC_healthy.4	pDC_healthy.5	pDC_healthy.6	pDC_healthy.7	pDC_healthy.8	pDC_healthy.9	pDC_healthy.10	pDC_healthy.11	pDC_healthy.12	Resting_CD4.T.cell	Resting_CD4.T.cell.1	Resting_CD4.T.cell.2	Resting_CD4.T.cell.3	Resting_NK	Resting_NK.1	Resting_NK.2	Resting_NK.3	Resting_NKT	Resting_NKT.1	Resting_NKT.2	Resting_NKT.3	Resting_NKT.4	Resting_NKT.5	T_cell.CD4.	T_cell.CD4..1	T_cell.CD4..2	T_cell.CD8._naive	T_cell.CD8._naive.1	T_cell.CD8._naive.2	T_cell.CD8._naive.3	T_cell.CD8.	T_cell.CD8..1	T_cell.CD8..2	T_cell.CD8..3	T_cell.CD8..4	T_cell.CD8..5	Th17	Th17.1	Th17.2	Th17.3	Th17.4	Th17.5	Th17.6	Th17.7	Th17.8	TSI_j
ABAT	16512	0.469827953	0.577769946	0.48628246	0.490330135	0.523521344	0.575984601	0.538333441	0.711809251	0.575498967	0.729452884	0.625737062	0.69613145	0.428014411	0.709276156	0.631650328	0.582288215	0.599124092	0.585012838	0.604461652	0.577019037	0.588389831	0.612765902	0.516257181	0.605704238	0.590842681	0.598829716	0.792309994	0.855632108	0.808185868	0.526724238	0.523154639	0.513874124	0.510739343	0.525638327	0.498855504	0.503939884	0.8870613	0.31960866	1	0.937110498	0.634556415	0.634390239	0.572473724	0.650773038	0.625933289	0.614922759	0.569151962	0.584469968	0.629941764	0.624547312	0.757770018	0.738812045	0.737679353	0.670592554	0.600444525	0.651683463	0.694037326	0.60890274	0.657690363	0.62916547	0.654123804	0.364716571	0.38620851	0.443605627	0.482910642	0.518757592	0.425125474	0.431230069	0.383838867	0.470782989	0.423216779	0.396042969	0.407353257	0.373419734	0.598053855	0.617649393	0.613522529	0.623329984	0.474614245	0.624554021	0.577390179	0.56182153	0.598474406	0.670281151	0.678753051	0.636356592	0.632637284	0.628090746	0.567478788	0.491286527	0.518353448	0.512405263	0.52380498	0.501123998	0.541301275	0.501362226	0.448405191	0.492375225	0.504267179	0.4926384	0.532565343	0.554473405	0.586294543	0.577154322	0.567871398	0.602785862	0.569513393	0.601613056	0.549006493	0.544815528	0.373990012
ABCB7	16668	0.866791114	0.965573044	0.837742152	0.864995619	0.951847617	1	0.966133917	0.76373712	0.763014611	0.783720934	0.788514533	0.783510024	0.862289079	0.768393812	0.789135011	0.922623482	0.902053225	0.921394572	0.878612861	0.889689391	0.919629948	0.818501833	0.869792029	0.858820277	0.844918418	0.837618112	0.762593903	0.819219822	0.779492276	0.566552549	0.578963496	0.595380151	0.845480517	0.833644188	0.838836616	0.816870711	0.819434647	0.713893671	0.775896583	0.810986867	0.938692245	0.916599452	0.782616632	0.896570119	0.906757103	0.864968986	0.429851363	0.426040126	0.450796289	0.474829848	0.637897251	0.572406399	0.574888738	0.964443023	0.933612821	0.960798858	0.955280203	0.985643189	0.962975728	0.912033749	0.940032209	0.861958255	0.850441792	0.809751143	0.816978579	0.846350602	0.857702739	0.83419973	0.878448628	0.842769666	0.803167628	0.812153	0.855296126	0.886949774	0.803898215	0.813374609	0.825074787	0.82596488	0.720403404	0.736638682	0.699456122	0.696437111	0.794237987	0.799495598	0.779407007	0.801832802	0.820690666	0.819859985	0.862045495	0.755076723	0.877505665	0.766356601	0.749830406	0.757615279	0.762746437	0.783582718	0.798134721	0.784436104	0.823217029	0.749260236	0.885732269	0.923681771	0.958122421	0.944531634	0.962238512	0.933367999	0.966429059	0.905199796	0.944197403	0.924765885	0.143997817
ABCE1	9042	0.76455457	0.789924059	0.663382419	0.753681907	0.81875208	0.842529904	0.819469962	0.800843771	0.812230122	0.821256124	0.782878329	0.827493766	0.794249328	0.822649207	0.817555341	0.784753412	0.734764379	0.812890179	0.793266229	0.781776174	0.774912753	0.788854914	0.770534002	0.837087989	0.881728356	0.860687747	0.801753391	0.825310908	0.806161498	0.649952503	0.67846894	0.65818686	0.67017995	0.69364662	0.666439859	0.658052109	0.381674595	0.269037468	0.329558298	0.451424311	0.713642202	0.757720477	0.662634359	0.699196616	0.743325553	0.712008192	0.295459766	0.280478839	0.308139252	0.263631582	0.415533842	0.412554193	0.400403382	0.856499375	0.867536062	0.86308791	0.850705582	0.780130692	0.79476498	0.77334184	0.791351014	0.825564812	0.806918781	0.786931747	0.785093017	0.791068591	0.792458723	0.846319911	0.766338685	0.762576703	0.789449874	0.7746303	0.806678306	0.781587179	0.835692386	0.831273968	0.844372899	0.860329054	0.697189045	0.747318092	0.723284619	0.782872441	0.893424248	0.801207686	0.815758612	0.801698035	0.831796277	0.820744682	0.774157762	0.714932731	0.801593591	0.824282962	0.766305396	0.780015538	0.741726026	0.721528498	0.681877605	0.717580686	0.769840783	0.681554332	0.805134771	0.913227094	0.917322758	0.917409233	0.969955411	0.966723905	0.953487873	1	0.949894333	0.939691882	0.222005929
ABHD12	30640	0.586844731	0.60180484	0.612436173	0.568221471	0.797650955	0.799359891	1	0.63718981	0.656046278	0.636219386	0.691956052	0.62818842	0.655978819	0.626923739	0.682574058	0.598691309	0.639725544	0.662078654	0.600572751	0.598642768	0.592053133	0.633674598	0.675148394	0.682963861	0.726708987	0.748457768	0.551690338	0.608492415	0.577249464	0.717628868	0.708587204	0.737436605	0.561185833	0.563812116	0.569525842	0.562697418	0.700917198	0.668548581	0.692536356	0.697771738	0.62438933	0.640593258	0.623446102	0.635057245	0.62523734	0.612443885	0.538942107	0.50907945	0.510605709	0.513899341	0.597569709	0.623686645	0.60399436	0.668609192	0.676484021	0.688240832	0.638978597	0.69633611	0.701168901	0.67634753	0.685746778	0.48996321	0.482326701	0.476604371	0.480630358	0.497116692	0.460500508	0.498662736	0.500614321	0.478258413	0.465373971	0.506648825	0.46567791	0.462352637	0.614868365	0.619095118	0.608227296	0.602288319	0.616773352	0.603054951	0.605168178	0.596214171	0.603202665	0.629759326	0.62877664	0.625647521	0.584439274	0.586613556	0.612218656	0.596463816	0.572980446	0.574976032	0.625735892	0.599605529	0.608895589	0.595636177	0.632919811	0.598373029	0.605388388	0.594495644	0.596864063	0.484394629	0.496658339	0.486219092	0.511143825	0.500246619	0.508281655	0.472618279	0.499012715	0.505710228	0.363142383
ABHD2	31233	0.681098241	0.679194425	0.613149344	0.686638618	0.897384512	0.815954166	0.774425258	0.795384745	0.815519236	0.832349564	0.846690662	0.81252335	0.794442713	0.820464464	0.83093076	0.788017317	0.86712015	0.852011263	0.846717586	0.857214388	0.800456379	0.63024219	0.681978991	0.570500639	0.767697024	0.784699185	0.78212657	0.934938834	0.887289816	0.689244115	0.729723507	0.705514707	0.62339977	0.617855696	0.63245945	0.617101194	0.625449847	0.480514166	0.510415353	0.607747678	0.779295391	0.781500159	0.77413173	0.790384852	0.775350356	0.733176457	0.95180719	0.994857364	1	0.997239836	0.935184252	0.94118109	0.91880805	0.960239792	0.983845334	0.965393389	0.91725302	0.928192889	0.925606711	0.925479476	0.906603831	0.798882842	0.785879939	0.749776393	0.763391347	0.787077761	0.794168361	0.748965198	0.710034776	0.780433013	0.769024646	0.766625393	0.787170763	0.797440162	0.748932011	0.755258527	0.775906208	0.740779028	0.824886254	0.787797917	0.803992034	0.774943791	0.703967386	0.693774611	0.750712586	0.716044753	0.750704625	0.724974943	0.7319938	0.723728417	0.69108626	0.684681201	0.672029661	0.679031834	0.663651758	0.661967173	0.666928493	0.683899694	0.674222438	0.701976942	0.723612849	0.590424315	0.573693742	0.58793322	0.58255323	0.601885803	0.542410335	0.552180061	0.539734724	0.553709487	0.225434834
ACADM	9669	0.870593851	0.891546536	0.857317233	0.859010089	0.830649464	0.920502241	0.957570677	0.80701793	0.859126875	0.813812534	0.820225026	0.826909575	0.889420052	0.833516064	0.855945186	0.807568508	0.772816808	0.695847012	0.818603184	0.820672648	0.803630237	0.731630388	0.830615216	0.729521593	0.866717552	0.89142863	0.908447654	0.955965007	0.935678863	0.612075138	0.600041435	0.615777621	0.806965787	0.807291092	0.791986523	0.805533377	0.358763053	0.253079183	0.303738228	0.42176843	0.805953636	0.781166833	0.71060844	0.766541488	0.816136154	0.755176623	0.353895355	0.327959682	0.356415735	0.459619273	0.519958965	0.43645129	0.386934562	0.91685647	0.959003696	0.942060445	0.917781393	0.922343993	0.911016522	0.923465466	0.924102814	0.532938116	0.553425204	0.466974698	0.439843292	0.502793476	0.501268855	0.517033278	0.460382597	0.40407744	0.476904497	0.191763444	0.501670372	0.528296261	0.887336654	0.881118557	0.897118257	0.891724802	0.584639465	0.697245007	0.734415935	0.74806675	0.903082422	0.878022239	0.871812997	0.865703017	0.888815564	0.879546489	0.786427227	0.766679883	0.867450483	0.57305268	0.487812277	0.549875949	0.540267276	0.755927716	0.736973915	0.81232328	0.788093281	0.754793665	0.863261731	0.935319608	0.907567042	0.928785016	0.959261288	0.937641311	0.986464706	0.89736619	1	0.865551916	0.202991001
ACADVL	7882	0.676607006	0.623897629	0.619009703	0.668645625	1	0.94154199	0.898600418	0.816302787	0.873909437	0.812131456	0.910711187	0.831572924	0.983806513	0.832927427	0.918881309	0.787210316	0.82686085	0.824406155	0.84690713	0.840654605	0.788067949	0.816897786	0.78799872	0.846130654	0.85530306	0.875821465	0.663891984	0.599141672	0.629935124	0.704973689	0.708299118	0.719905439	0.741961005	0.732105658	0.736073741	0.740091454	0.433157625	0.305193522	0.380883515	0.46602972	0.795431601	0.747863833	0.763256337	0.735841311	0.749273237	0.751794509	0.620830617	0.601940841	0.604211918	0.665402096	0.772004523	0.76480923	0.763925641	0.776966824	0.803654659	0.799391183	0.802118748	0.842168624	0.842824518	0.836012483	0.837786888	0.717526217	0.656101414	0.682529349	0.632803795	0.699942241	0.701290884	0.691797605	0.676385697	0.680635868	0.689222641	0.692862901	0.678592041	0.688344243	0.812659332	0.850157619	0.792813794	0.788505114	0.679030939	0.640993526	0.739344059	0.761691899	0.830646173	0.845848685	0.865308037	0.813175031	0.794819154	0.803325525	0.669074092	0.685457029	0.611653519	0.603516026	0.654761346	0.653476834	0.6236101	0.648689558	0.631947855	0.66504311	0.64016247	0.641097881	0.703355142	0.778869845	0.784737046	0.781049366	0.744005128	0.733225875	0.787687642	0.719238165	0.755357302	0.754178212	0.236264231
ACAP3	31424	0.778245435	0.705815458	0.750136757	0.771985656	1	0.875093665	0.838898606	0.854073103	0.843978006	0.791370224	0.894473707	0.815794334	0.859377223	0.827222656	0.870608817	0.762217962	0.980585703	0.8678403	0.79678288	0.81275092	0.84206349	0.815424577	0.784754984	0.76689314	0.788663528	0.828120511	0.862590122	0.817156742	0.799841862	0.500275204	0.458687718	0.504500095	0.571206579	0.586929676	0.571959566	0.59880618	0.837374269	0.826595469	0.759183545	0.928565607	0.803842429	0.820889283	0.797843271	0.75891156	0.772386162	0.726115359	0.678693666	0.687803548	0.657054062	0.747169957	0.727830355	0.7222881	0.735091787	0.817375047	0.827249623	0.857502822	0.845056379	0.887798113	0.883785608	0.860905518	0.901691974	0.492889468	0.475460285	0.555204723	0.557105717	0.511369955	0.438536629	0.431787936	0.53499926	0.513706489	0.505664631	0.514490647	0.529113915	0.484589737	0.843132052	0.883780251	0.795364962	0.831812809	0.635490971	0.594497449	0.675181364	0.65397827	0.835339061	0.852024634	0.933876762	0.828270581	0.907854813	0.921935483	0.783898082	0.747003687	0.712379637	0.74654003	0.755690878	0.774432876	0.769246353	0.788989369	0.755808104	0.744707109	0.763935102	0.723137298	0.800758901	0.630745077	0.6261953	0.631204902	0.607188119	0.608018856	0.615771046	0.614324285	0.622246971	0.626035064	0.201034593
ACOT9	27734	0.700739955	0.772945964	0.693434878	0.764032229	0.870627917	0.841457591	0.861336676	0.758156849	0.849511414	0.831228978	0.921726598	0.797263629	0.823683373	0.815370082	0.86528719	0.847880994	0.91148334	1	0.85844732	0.860872613	0.866269919	0.976865125	0.97649234	0.95615801	0.805361491	0.812114709	0.858609559	0.853091164	0.863414952	0.654884086	0.661407279	0.67065044	0.671634012	0.684928057	0.661486362	0.680043276	0.165757484	0.230377269	0.162710215	0.177434867	0.891629783	0.873530395	0.860637825	0.861774821	0.889641539	0.877252854	0.895615988	0.872613828	0.934843854	0.918477741	0.847688798	0.797292716	0.84092624	0.728722193	0.738347918	0.785457985	0.748310154	0.791145333	0.780127626	0.778263919	0.760063284	0.635105353	0.619784446	0.616041703	0.603521396	0.637789144	0.66795809	0.680733242	0.583429395	0.587496715	0.537350992	0.516805393	0.620320578	0.607233009	0.821282692	0.816568594	0.829464782	0.8237523	0.584282935	0.57347842	0.653016346	0.67037736	0.845851804	0.816851778	0.880633412	0.877522178	0.838112639	0.854900965	0.807608296	0.802171148	0.733987952	0.724544093	0.652644594	0.752491267	0.703654652	0.700049859	0.715542929	0.787252642	0.747522876	0.678272268	0.764642706	0.928277157	0.923901296	0.909220932	0.902412818	0.924107537	0.896886467	0.840059637	0.887618382	0.893164762	0.216078189
ACSL1	14415	0.45419033	0.486037656	0.48304923	0.48465656	0.808349573	0.761235501	0.793429767	0.544856456	0.551255692	0.555042341	0.568131402	0.556505869	0.574609566	0.577469969	0.563247297	0.577748922	0.672263123	0.750753316	0.581884193	0.582006246	0.669940247	0.781143375	0.624793702	0.709108577	0.545236793	0.547291342	0.628242054	0.746251635	0.724739446	0.557990858	0.571920572	0.570430764	0.49798866	0.50622853	0.517912956	0.501742448	0.453192085	0.391756732	0.250430244	0.381555276	0.736287174	0.725097361	0.784561456	0.720835956	0.739542147	0.682474001	0.780132514	0.846107589	0.859340191	0.814223426	1	0.991742229	0.989394006	0.656985207	0.548678972	0.628010997	0.587310005	0.532510132	0.565593848	0.489754493	0.536279358	0.392386008	0.400976677	0.317505637	0.379037651	0.478349334	0.39493222	0.435120908	0.399506447	0.390535194	0.37855747	0.53935965	0.363904765	0.396189521	0.642059835	0.619860822	0.642063795	0.637162616	0.557639932	0.596272016	0.420243098	0.436185443	0.656461277	0.643993222	0.592401263	0.632642099	0.633758459	0.66162036	0.483414414	0.494018588	0.516813177	0.536664141	0.565368517	0.583714596	0.552999743	0.442905876	0.461102387	0.470954746	0.467922847	0.402103731	0.478602014	0.579982045	0.559585204	0.60275476	0.618330498	0.621347916	0.58470879	0.602544439	0.55736986	0.552447518	0.388945068
