SampleIdentifier	Name
LN229_CENTRAL_NERVOUS_SYSTEM	LN-229
SF126_CENTRAL_NERVOUS_SYSTEM	SF-126
BECKER_CENTRAL_NERVOUS_SYSTEM	Becker
SW1783_CENTRAL_NERVOUS_SYSTEM	SW1783
TM31_CENTRAL_NERVOUS_SYSTEM	TM-31
U138MG_CENTRAL_NERVOUS_SYSTEM	U-138MG
SF295_CENTRAL_NERVOUS_SYSTEM	SF-295
M059K_CENTRAL_NERVOUS_SYSTEM	M059K
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS-3
GI1_CENTRAL_NERVOUS_SYSTEM	GI-1
KNS60_CENTRAL_NERVOUS_SYSTEM	KNS-60
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS-81
KG1C_CENTRAL_NERVOUS_SYSTEM	KG-1-C
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS-1
AM38_CENTRAL_NERVOUS_SYSTEM	AM-38
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1
H4_CENTRAL_NERVOUS_SYSTEM	H4
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMC-G1
KNS42_CENTRAL_NERVOUS_SYSTEM	KNS-42
YH13_CENTRAL_NERVOUS_SYSTEM	YH-13
DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG
U118MG_CENTRAL_NERVOUS_SYSTEM	U-118-MG
GB1_CENTRAL_NERVOUS_SYSTEM	GB-1
SNU489_CENTRAL_NERVOUS_SYSTEM	SNU-489
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU-201
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU-466
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU-1105
SNU738_CENTRAL_NERVOUS_SYSTEM	SNU-738
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU-626
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCF-STTG1
SW1088_CENTRAL_NERVOUS_SYSTEM	SW1088
HS683_CENTRAL_NERVOUS_SYSTEM	Hs683
LN18_CENTRAL_NERVOUS_SYSTEM	LN-18
T98G_CENTRAL_NERVOUS_SYSTEM	T98G
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG
A172_CENTRAL_NERVOUS_SYSTEM	A172
GMS10_CENTRAL_NERVOUS_SYSTEM	GMS-10
42MGBA_CENTRAL_NERVOUS_SYSTEM	42-MG-BA
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1
GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB-19
YKG1_CENTRAL_NERVOUS_SYSTEM	YKG-1
U251MG_CENTRAL_NERVOUS_SYSTEM	U-251MG
KS1_CENTRAL_NERVOUS_SYSTEM	KS-1
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOG-G-UVW
8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA
U87MG_CENTRAL_NERVOUS_SYSTEM	U-87-MG
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOG-G-CCM
LN443_CENTRAL_NERVOUS_SYSTEM	LN-443
LN235_CENTRAL_NERVOUS_SYSTEM	LN-235
LN428_CENTRAL_NERVOUS_SYSTEM	LN-428
SF172_CENTRAL_NERVOUS_SYSTEM	SF-172
U343_CENTRAL_NERVOUS_SYSTEM	U343
LN215_CENTRAL_NERVOUS_SYSTEM	LN-215
LN464_CENTRAL_NERVOUS_SYSTEM	LN-464
U178_CENTRAL_NERVOUS_SYSTEM	U-178
SF767_CERVIX	SF-767
A1207_CENTRAL_NERVOUS_SYSTEM	A1207
LN319_CENTRAL_NERVOUS_SYSTEM	LN-319
LN382_CENTRAL_NERVOUS_SYSTEM	LN382
LNZ308_CENTRAL_NERVOUS_SYSTEM	LNZ308
LN340_CENTRAL_NERVOUS_SYSTEM	LN-340
SF268_CENTRAL_NERVOUS_SYSTEM	SF-268
SF539_CENTRAL_NERVOUS_SYSTEM	SF-539
SNB75_CENTRAL_NERVOUS_SYSTEM	SNB75
