	original_firstorder_10Percentile	original_firstorder_90Percentile	original_firstorder_Energy	original_firstorder_Entropy	original_firstorder_InterquartileRange	original_firstorder_Kurtosis	original_firstorder_Maximum	original_firstorder_MeanAbsoluteDeviation	original_firstorder_Mean	original_firstorder_Median	original_firstorder_Minimum	original_firstorder_Range	original_firstorder_RobustMeanAbsoluteDeviation	original_firstorder_RootMeanSquared	original_firstorder_Skewness	original_firstorder_TotalEnergy	original_firstorder_Uniformity	original_firstorder_Variance	original_glcm_Autocorrelation	original_glcm_JointAverage	original_glcm_ClusterProminence	original_glcm_ClusterShade	original_glcm_ClusterTendency	original_glcm_Contrast	original_glcm_Correlation	original_glcm_DifferenceAverage	original_glcm_DifferenceEntropy	original_glcm_DifferenceVariance	original_glcm_JointEnergy	original_glcm_JointEntropy	original_glcm_Imc1	original_glcm_Imc2	original_glcm_Idm	original_glcm_Idmn	original_glcm_Id	original_glcm_Idn	original_glcm_InverseVariance	original_glcm_MaximumProbability	original_glcm_SumEntropy	original_glcm_SumSquares	original_glrlm_GrayLevelNonUniformity	original_glrlm_GrayLevelNonUniformityNormalized	original_glrlm_GrayLevelVariance	original_glrlm_HighGrayLevelRunEmphasis	original_glrlm_LongRunEmphasis	original_glrlm_LongRunHighGrayLevelEmphasis	original_glrlm_LongRunLowGrayLevelEmphasis	original_glrlm_LowGrayLevelRunEmphasis	original_glrlm_RunEntropy	original_glrlm_RunLengthNonUniformity	original_glrlm_RunLengthNonUniformityNormalized	original_glrlm_RunPercentage	original_glrlm_RunVariance	original_glrlm_ShortRunEmphasis	original_glrlm_ShortRunHighGrayLevelEmphasis	original_glrlm_ShortRunLowGrayLevelEmphasis	original_glszm_GrayLevelNonUniformity	original_glszm_GrayLevelNonUniformityNormalized	original_glszm_GrayLevelVariance	original_glszm_HighGrayLevelZoneEmphasis	original_glszm_LargeAreaEmphasis	original_glszm_LargeAreaHighGrayLevelEmphasis	original_glszm_LargeAreaLowGrayLevelEmphasis	original_glszm_LowGrayLevelZoneEmphasis	original_glszm_SizeZoneNonUniformity	original_glszm_SizeZoneNonUniformityNormalized	original_glszm_SmallAreaEmphasis	original_glszm_SmallAreaHighGrayLevelEmphasis	original_glszm_SmallAreaLowGrayLevelEmphasis	original_glszm_ZoneEntropy	original_glszm_ZonePercentage	original_glszm_ZoneVariance	original_gldm_DependenceEntropy	original_gldm_DependenceNonUniformity	original_gldm_DependenceNonUniformityNormalized	original_gldm_DependenceVariance	original_gldm_GrayLevelNonUniformity	original_gldm_GrayLevelVariance	original_gldm_HighGrayLevelEmphasis	original_gldm_LargeDependenceEmphasis	original_gldm_LargeDependenceHighGrayLevelEmphasis	original_gldm_LargeDependenceLowGrayLevelEmphasis	original_gldm_LowGrayLevelEmphasis	original_gldm_SmallDependenceEmphasis	original_gldm_SmallDependenceHighGrayLevelEmphasis	original_gldm_SmallDependenceLowGrayLevelEmphasis	group
CS-4942_X1.081.jpg	-0.154029671621797	-0.153982568367402	6.44287366016512	-0.154068349508815	-0.154040414469291	-0.154068488422096	-0.153976783757213	-0.15405419130351	-0.15401171561331	-0.154018928774303	-0.154036695791312	-0.154009425486136	-0.154057278012825	-0.154009132123762	-0.154069061387736	6.44287366016512	-0.154069245999438	-0.153332613657127	-0.15406405290696	-0.154068019166254	-0.153978803247267	-0.154061839012684	-0.154064906674105	-0.154069218109353	-0.154068946026081	-0.154069219596824	-0.154068979866051	-0.154069252899652	-0.154069280583143	-0.154067922852495	-0.154069577540239	-0.154068937307847	-0.154068983171542	-0.154068927556647	-0.154068983047586	-0.154068941150481	-0.154069220877702	-0.15406921455595	-0.154068044618539	-0.154068199935323	-0.154049367971578	-0.154069255213496	-0.154068483835727	-0.154064626203148	-0.154061373227608	-0.15396571296364	-0.154067231343665	-0.154069234884723	-0.154067404634059	-0.15404615152172	-0.154069243933506	-0.154069204143651	-0.154065762961687	-0.154069171171373	-0.154067502104741	-0.154069296573458	-0.154068345872774	-0.154069238355489	-0.154068093829044	-0.154065081699882	-0.149139279530844	-0.108613416151061	-0.15294655707817	-0.154069147371834	-0.154068841696504	-0.154069287937862	-0.154069290954123	-0.154069269881614	-0.154069293267967	-0.154067964956193	-0.154069332024855	-0.15147586538816	-0.154067448762371	-0.154008613409503	-0.154069256783604	-0.154067935124132	-0.154000513426448	-0.154068203943231	-0.154064227065045	-0.154050939195661	-0.153827337196062	-0.154064411470154	-0.154069230752858	-0.154069323430577	-0.154069182905868	-0.154069333181777	HIGH
CS-5395_X1.07.jpg	-0.156975015627424	-0.156891154475191	6.4402579890806	-0.157006978818033	-0.156953562774527	-0.157007461702249	-0.156881403178419	-0.156982513204485	-0.156935560417993	-0.156936010440339	-0.156987692313226	-0.156902856031316	-0.156986976275505	-0.156929493648706	-0.15700903663419	6.4402579890806	-0.157008923616661	-0.156055785649088	-0.156995036892442	-0.157005623582807	-0.156945130243131	-0.157007415578615	-0.157003328420086	-0.157008888316966	-0.157008252727443	-0.157008889292096	-0.157008341464243	-0.157008958136251	-0.157009012548487	-0.157005994229598	-0.157009677294388	-0.157008215575002	-0.157008297875947	-0.157008176959867	-0.157008297778434	-0.157008206603809	-0.157008890169713	-0.157008937561015	-0.157006254004144	-0.157007626791703	-0.15694378631941	-0.157008927809718	-0.157007621330977	-0.156995650053983	-0.156985493200779	-0.156713801595007	-0.157005852543256	-0.15700901888683	-0.15700439608957	-0.156953966965778	-0.157008967887548	-0.157008856625252	-0.156998259403486	-0.157008819180272	-0.157005153570303	-0.157009095336997	-0.15700751991749	-0.157008964572107	-0.157005677995043	-0.156992567961612	-0.13376032007783	0.110428403171531	-0.153758541123682	-0.157008867839243	-0.157008170036446	-0.157009036829216	-0.157009101577827	-0.157008947409825	-0.157009105868397	-0.15700605410256	-0.157009136487469	-0.14613839952549	-0.157004525294252	-0.156827338283627	-0.157008965839776	-0.157006081503704	-0.156784530675878	-0.157007585543718	-0.156995362585754	-0.156963190034803	-0.156351189385705	-0.15700363051526	-0.15700902512766	-0.157009114547051	-0.157008747118189	-0.157009139900423	HIGH
CS-6186_X1.45.jpg	-0.153731607824273	-0.153712627574764	6.44292886185161	-0.153761096299119	-0.153753216108328	-0.153760877004236	-0.153702991448091	-0.153756307494567	-0.153721299942768	-0.153721387689922	-0.153735403874174	-0.153729271793564	-0.153757976559308	-0.153720721716767	-0.153761661355747	6.44292886185161	-0.153761598282918	-0.153600605616558	-0.15375865219779	-0.153760782248991	-0.15374999086753	-0.153761988312445	-0.153760613032766	-0.1537615968813	-0.153761436308389	-0.153761601991367	-0.153761424161029	-0.153761620884015	-0.153761632009361	-0.153760785198229	-0.153761818395412	-0.153761417474141	-0.153761432804343	-0.15376139455184	-0.153761432483138	-0.153761403866762	-0.153761606459025	-0.153761581054692	-0.153760882406307	-0.15376139458104	-0.153734681164674	-0.153761606897031	-0.15376137022792	-0.153758692727922	-0.153755455982173	-0.153698132591817	-0.153760545229475	-0.153761629994535	-0.153760292850557	-0.153741942716132	-0.153761629468928	-0.153761595246078	-0.153758941807197	-0.153761576032226	-0.153760619310849	-0.153761663166171	-0.153759311688459	-0.153761610079873	-0.153761201741705	-0.15375909268558	-0.151460091713618	-0.129126588763836	-0.153474630897333	-0.153761599450933	-0.153760826458372	-0.153761657413695	-0.153761619891202	-0.153761007559153	-0.15376165627488	-0.153760297201414	-0.153761676072741	-0.151835905209147	-0.15376032041572	-0.153705355452767	-0.153761635163003	-0.1537605699622	-0.153663031189985	-0.153761388945366	-0.153758654563021	-0.153747996919319	-0.153618818538379	-0.15375911318425	-0.153761629848533	-0.153761672627095	-0.153761568148122	-0.153761681474812	HIGH
CS-6666_X1.52.jpg	-0.153520882221586	-0.153477639689272	6.44295033371243	-0.153528441839901	-0.153494306081935	-0.153528738102727	-0.153466829056194	-0.153512344369674	-0.153503187763457	-0.153512130756713	-0.153524743161971	-0.15347120478863	-0.153514211983758	-0.153497552695225	-0.153529018020905	6.44295033371243	-0.153529057968768	-0.152270355599432	-0.153522105753594	-0.153527968153995	-0.153174108926581	-0.153509928090223	-0.153521414851182	-0.153528887624078	-0.15352887650457	-0.15352898726208	-0.153528766853863	-0.153528958202068	-0.153529072022591	-0.153528094973017	-0.153529240282373	-0.153528873493036	-0.153528917662194	-0.153528863686248	-0.153528913826994	-0.153528872746588	-0.153529047158135	-0.15352901382535	-0.153528273708817	-0.153527135066019	-0.153508052471124	-0.153529087234696	-0.153527578945465	-0.153518763388982	-0.153522736399596	-0.153450063900677	-0.153527730062672	-0.153529098585861	-0.153527890986667	-0.153456887778192	-0.153529012100796	-0.153529018664395	-0.15352457418148	-0.153528947314217	-0.153522061919051	-0.153529109087619	-0.15352324195113	-0.153529083708371	-0.153527966197785	-0.153519282350848	-0.152684357467413	-0.147461229541721	-0.153327817853838	-0.153529101803311	-0.153521469444879	-0.153529073077915	-0.153529014314402	-0.153525383486064	-0.153529112459507	-0.153527686279608	-0.153529093669597	-0.152711155817053	-0.153527888876019	-0.153453944145764	-0.153529074776728	-0.153527218977123	-0.153425315478725	-0.153527119982611	-0.153521758474876	-0.153518309934403	-0.153337931664395	-0.153526931826117	-0.153529081494765	-0.153529094930837	-0.153528232473974	-0.153529117169854	LOW
CS-6669_X1.124.jpg	-0.153637728881448	-0.153626191916749	6.44293771205179	-0.153653043989912	-0.153647144105513	-0.153652628526574	-0.15362208104427	-0.153649585088548	-0.153631906612974	-0.153631098441966	-0.153652315848309	-0.153623141914587	-0.153650803299194	-0.15363133174061	-0.153653531764823	6.44293771205179	-0.153653349242085	-0.153464732321218	-0.153646557444228	-0.153652443762748	-0.153602053496813	-0.153656911432436	-0.153652278797414	-0.153653300985747	-0.153653261309197	-0.153653314657713	-0.153653219921994	-0.153653331008377	-0.153653364717531	-0.153652848696948	-0.15365342943062	-0.153653254214627	-0.153653273787684	-0.153653244852446	-0.153653273018553	-0.153653249652884	-0.153653325160329	-0.153653353750784	-0.153652929402657	-0.153653083308419	-0.153632602490858	-0.15365335051513	-0.153653028726641	-0.153646880306848	-0.153652149437539	-0.153588911289455	-0.153653331671421	-0.153653371096014	-0.15365274975753	-0.15362102375439	-0.153653336922729	-0.15365331823815	-0.15365287498001	-0.153653304234662	-0.153650017340158	-0.153653373390146	-0.15365153224971	-0.153653358087092	-0.153652821167363	-0.15364812728034	-0.153290492089454	-0.134245993282922	-0.15364538160209	-0.153653369425143	-0.153651644768269	-0.153653359227527	-0.153653329642506	-0.153651888914311	-0.153653373920581	-0.153652635210057	-0.153653369425143	-0.153334329717483	-0.153652662805947	-0.1536214185838	-0.15365335896231	-0.153652830330631	-0.153603914820307	-0.153653066506885	-0.15364658824925	-0.153648859320642	-0.153411849620039	-0.153653231684393	-0.153653371679493	-0.153653367595142	-0.153652979953128	-0.153653376281018	LOW
CS-6670_X1.082.jpg	-0.155569927232476	-0.155523348946095	6.44201703652364	-0.155609357149246	-0.1555876269813	-0.155608342767325	-0.155500059802905	-0.15559714450887	-0.155544380439745	-0.155542911826375	-0.155591353244211	-0.155519622683185	-0.155601190391981	-0.155542183621446	-0.155611260058557	6.44201703652364	-0.155610586257067	-0.155291932834836	-0.155599903340772	-0.155607779076903	-0.155599546457942	-0.15561144888693	-0.155608868263552	-0.155610663297552	-0.155610189130597	-0.155610665999093	-0.155610131746148	-0.155610732326573	-0.155610720123062	-0.155608400990183	-0.155611287726059	-0.155610118238445	-0.155610109388571	-0.155609994247047	-0.155610109202257	-0.155610026199751	-0.155610668328007	-0.155610630692752	-0.155608661362804	-0.15561034097581	-0.155490524389274	-0.155610605540477	-0.155610270922068	-0.155599354648558	-0.155592212427281	-0.155389389514995	-0.155608941670931	-0.155610814304357	-0.155606649180832	-0.15554655126736	-0.155610755056776	-0.155610638797374	-0.155603829145061	-0.155610608521487	-0.155606939177243	-0.155610880352367	-0.155605947804996	-0.155610709130586	-0.155609447604278	-0.1555985728786	-0.141308936845651	0.0016746801713732	-0.154138724238328	-0.155610749933165	-0.155608897701029	-0.155610832004105	-0.155610751237357	-0.155609104601777	-0.155610856783754	-0.155606722588211	-0.155610898983681	-0.144046383166184	-0.155606886543779	-0.155408875168476	-0.155610760832484	-0.155607886113805	-0.155181729261356	-0.155610351223033	-0.155599739478361	-0.155567104588321	-0.155097342727824	-0.155606204730823	-0.155610815888018	-0.155610885289665	-0.155610534182542	-0.155610912025601	HIGH
CS-6670_X1.085.jpg	-0.155812888216243	-0.155767679517414	6.44173724854513	-0.155855506554909	-0.155836475363458	-0.155853874226042	-0.15572935040319	-0.155843873275623	-0.155787030511269	-0.155785369877825	-0.155833526970056	-0.155752937550405	-0.155848326922136	-0.155784917889117	-0.155857559914354	6.44173724854513	-0.155856757754789	-0.155551263117405	-0.155845586980148	-0.155853816142692	-0.155845227374432	-0.155857670970505	-0.155855013386973	-0.155856852987896	-0.155856348321225	-0.155856857607045	-0.155856293481108	-0.155856922078581	-0.155856898294874	-0.155854517860321	-0.155857506548433	-0.155856276970105	-0.155856259083185	-0.155856138395615	-0.155856258788345	-0.155856167879549	-0.155856861636516	-0.1558567883198	-0.155854790390152	-0.155856523652353	-0.155733931715137	-0.155856774462351	-0.155856463112008	-0.155845191404033	-0.155833464169277	-0.155570115931055	-0.155854695353604	-0.155857008269948	-0.155852663517431	-0.155793712455236	-0.155856943208734	-0.155856828319671	-0.15584640820599	-0.155856782816133	-0.155852934081666	-0.155857078343431	-0.155851066176166	-0.155856881489032	-0.155855734465719	-0.155843695192661	-0.142274697358271	0.023714483617846	-0.154663126828456	-0.155856977901496	-0.155854392553602	-0.155857009449306	-0.155856849646383	-0.155854010638377	-0.15585705200445	-0.155852825482509	-0.155857093576797	-0.144524571547673	-0.155852917177544	-0.155646782709845	-0.15585694507605	-0.155853765823444	-0.155413787002338	-0.155856536428724	-0.15584542953594	-0.155810015694831	-0.155302964658464	-0.155852053101717	-0.155857008564788	-0.15585707912967	-0.155856691121098	-0.155857109792961	HIGH
DU-5849_X1.024.jpg	-0.153924799590619	-0.153903455257506	6.44288311887849	-0.153951517593862	-0.153943801253026	-0.153950744668706	-0.153894605168166	-0.153946016560536	-0.153913409942114	-0.153912825940336	-0.153948486594441	-0.1538982493226	-0.153948355014436	-0.153912476387837	-0.153952390160611	6.44288311887849	-0.153952066767935	-0.153671041447511	-0.153940831501429	-0.153950444572589	-0.153897243457887	-0.15395591561973	-0.153950501421398	-0.15395200715998	-0.153951907414268	-0.153952026604147	-0.153951843589506	-0.153952050082914	-0.153952096910298	-0.153951177099689	-0.153952238381579	-0.153951891614255	-0.153951920585283	-0.153951871935821	-0.153951919413947	-0.153951880681792	-0.153952042274011	-0.153952065023947	-0.153951314510341	-0.153951692513275	-0.153929662662652	-0.153952078689526	-0.153951516448556	-0.153941100179729	-0.153948736921821	-0.153805468578055	-0.153952025953405	-0.153952119712293	-0.153950886426314	-0.153921267129519	-0.153952060390665	-0.153952028322106	-0.15395054762407	-0.153951996357665	-0.153946705071457	-0.153952124631901	-0.153949964715539	-0.153952092068779	-0.153951145681872	-0.153941886223841	-0.152979987479399	-0.111108420612903	-0.153928722080363	-0.153952115287248	-0.15395070840937	-0.153952105343913	-0.153952066117193	-0.153949716080088	-0.153952127391047	-0.153950759791947	-0.153952117395652	-0.153078965316796	-0.153950789674014	-0.153913627341955	-0.153952095478666	-0.153950932733105	-0.153882250599625	-0.153951655993641	-0.153940843605228	-0.153942019704012	-0.153507998229857	-0.153951802020115	-0.153952121065836	-0.153952115287248	-0.153951506817576	-0.153952130072103	HIGH
DU-5849_X1.102.jpg	-0.153554683341835	-0.153517574878899	6.44294676707171	-0.153570763269611	-0.153555652592732	-0.153570651085743	-0.153500959149227	-0.15356066810612	-0.153534027303642	-0.153532252106777	-0.153570191356196	-0.153502343793366	-0.153564519216865	-0.153531386731882	-0.153571774004447	6.44294676707171	-0.153571532854824	-0.15283033041004	-0.153560485803872	-0.153569909082641	-0.153331319915577	-0.153583873468023	-0.153567156133164	-0.15357138123629	-0.153571322555072	-0.153571430335772	-0.153571220479106	-0.153571460465628	-0.153571558221504	-0.153570319214236	-0.153571700590615	-0.153571309816346	-0.153571367085227	-0.153571300650002	-0.153571364648254	-0.153571310896368	-0.15357146509034	-0.153571539113415	-0.153570518436834	-0.153570422342531	-0.153549378243972	-0.153571534904097	-0.153570395978907	-0.153560055871867	-0.153569308728636	-0.153487791709626	-0.153571265618505	-0.153571554538351	-0.153570222095296	-0.153518992948348	-0.153571480266039	-0.153571444209906	-0.153570606832516	-0.153571410203046	-0.153564662970619	-0.153571564147781	-0.153569372283801	-0.153571544956613	-0.153569895208507	-0.15356070557459	-0.153285001464455	-0.141982104553729	-0.153545011713293	-0.153571552904471	-0.153569442485259	-0.153571545953557	-0.153571502198802	-0.153569485132299	-0.153571570267908	-0.153570061587347	-0.153571558609205	-0.153355272569922	-0.15356999725678	-0.153528469369759	-0.153571537894928	-0.153570380443199	-0.153522779977762	-0.153570369227582	-0.153560516958365	-0.153562918235925	-0.153250304774682	-0.153570457844807	-0.153571548778231	-0.153571555258366	-0.153570781325371	-0.153571574283376	HIGH
DU-5849_X1.142.jpg	-0.153576821185082	-0.153527325523783	6.44294520146823	-0.153599832832128	-0.15358120456468	-0.153599790605572	-0.153507782956407	-0.153586638311615	-0.153554210398099	-0.153555452209539	-0.153599103364707	-0.153509609364573	-0.153591985998197	-0.153550460562965	-0.153600892623731	6.44294520146823	-0.153600873227276	-0.152603223811176	-0.153587474331689	-0.153598837695375	-0.153275595850473	-0.153599559090073	-0.153594766558517	-0.153600659500993	-0.153600595174897	-0.153600730036876	-0.153600450961708	-0.153600773213165	-0.153600905627757	-0.153599234939151	-0.153601096377826	-0.153600577531794	-0.153600657309303	-0.15360056668293	-0.153600653145092	-0.153600580673216	-0.153600786655529	-0.153600865702474	-0.153599515475446	-0.153599321401314	-0.153577949978385	-0.153600879656233	-0.153599305876844	-0.153586898903532	-0.1535978368237	-0.153498227006241	-0.153600637839792	-0.15360090456844	-0.153599147673369	-0.153537967638885	-0.153600795057007	-0.1536007534149	-0.153599516059896	-0.15360070271381	-0.153592003750884	-0.153600917682051	-0.153597674967409	-0.153600881190416	-0.153599108149896	-0.153587665154814	-0.153204800909368	-0.140340339637835	-0.153577768798695	-0.153600904678025	-0.153597936655171	-0.153600885098929	-0.15360081467263	-0.153596447365424	-0.153600924439761	-0.153599004336856	-0.153600903910933	-0.153277622579087	-0.153598833056298	-0.153554691145257	-0.15360088089819	-0.153599145846961	-0.153547430296121	-0.153599304013908	-0.153587660333096	-0.153589516840469	-0.153223237440487	-0.153599688253658	-0.153600898395181	-0.153600899162272	-0.153599750643761	-0.153600927946465	HIGH
