chr1	start	end	symbol	ENSG
chr12	54230940	54280133	CBX5	ENSG00000094916
chr4	77047158	77076005	CCNI	ENSG00000118816
chr11	61299451	61342596	DDB1	ENSG00000167986
chr14	101964528	102050792	DYNC1H1	ENSG00000197102
chr20	58839718	58911192	GNAS	ENSG00000087460
chr9	128255829	128275995	GOLGA2	ENSG00000167110
chr9	130053426	130140169	GPR107	ENSG00000148358
chrX	51803007	51902357	MAGED1	ENSG00000179222
chr13	19633681	19673459	MPHOSPH8	ENSG00000196199
chrX	19343893	19361705	PDHA1	ENSG00000131828
chr12	112418351	112509913	PTPN11	ENSG00000179295
chr2	197389784	197435091	SF3B1	ENSG00000115524
chr11	66050729	66069308	SF3B2	ENSG00000087365
chr9	128552558	128633662	SPTAN1	ENSG00000197694
chr1	186311652	186375693	TPR	ENSG00000047410
chr17	4269259	4366628	UBE2G1	ENSG00000132388
chr11	11841423	11959323	USP47	ENSG00000170242
chr12	752593	911452	WNK1	ENSG00000060237
chr20	44885676	44908532	YWHAB	ENSG00000166913
chr1	155659443	155689000	YY1AP1	ENSG00000163374
chr18	35332212	35345482	ZNF24	ENSG00000172466
